CASE,DATE,YEAR,DECADE,EFFECT,STAT NAME,PL #,S-DATE,TIME TO DECISION,CONGRESS,AREA1,LNDMRK,LNDDTL,ATT GEN,CERT,REVERSD,CRS,GVT PRTY,DISSENT,H-CT
United States v. Central Pacific Railroad Co.,5/18/1886,1886,1880,upheld,Thurman Act (Pacific Railroads),,5/7/1878,97,45,Economic,0.0,0.0,1,0,0.0,0.0,1,0,1
United States v. Kagama,5/10/1886,1886,1880,upheld,Indian Appropriation Act,,3/3/1885,14,48,Federalism,0.0,0.0,1,0,0.0,0.0,1,0,1
Hart v. United States,4/26/1886,1886,1880,upheld,"Court of Claims, Appeals",,6/25/1868,214,40,Separation of Powers,0.0,0.0,1,0,0.0,0.0,1,0,0
United States v. Arjona,3/7/1887,1887,1880,upheld,Counterfeiting Act,,5/16/1884,33,48,Due Process,0.0,0.0,1,0,0.0,0.0,1,0,1
Baldwin v. Franks,3/7/1887,1887,1880,struck down on face,Civil Rights Act of 1871,,4/20/1871,143,42,Equality,1.0,1.0,0,0,1.0,1.0,1,2,0
United States v. Louisiana,10/24/1887,1887,1880,upheld,"Amended Tariff (Direct Tax, Income Tax)",,8/5/1861,315,37,Federalism,1.0,0.0,1,0,0.0,0.0,1,0,0
Great Falls Manufacturing Co. v. Attorney General,2/6/1888,1888,1880,upheld,"Water-Supply, DC",,7/15/1882,67,47,Federalism,0.0,0.0,1,0,0.0,0.0,1,0,0
California v. Central Pacific Railroad,4/30/1888,1888,1880,upheld,Pacific Railroad Act,,7/1/1862,309,37,Federalism,1.0,1.0,0,0,0.0,0.0,0,0,0
Callan v. Wilson,5/14/1888,1888,1880,struck down on face,15 Stat. 76,,6/25/1868,239,40,Due Process,0.0,0.0,1,0,1.0,1.0,1,0,0
In re Coy,5/14/1888,1888,1880,upheld,Conspiracies to Defraud the US Act,,5/17/1879,107,46,Due Process,0.0,0.0,1,0,0.0,0.0,1,1,1
United States ex rel. Levey v. Stockslager,3/5/1889,1889,1880,upheld,An Act for the Relief of the Heirs of John E. Bouligny,,3/2/1867,264,39,Economic,0.0,0.0,1,0,0.0,0.0,1,0,0
Botiller v. Dominguez,4/1/1889,1889,1880,upheld,Land Claims in California Act,,3/3/1851,457,31,Federalism,0.0,0.0,0,0,1.0,0.0,0,0,1
Crenshaw v. United States,3/3/1890,1890,1890,upheld,Naval Appropriation Act,,8/5/1882,91,47,Economic,0.0,0.0,1,0,0.0,0.0,1,0,0
Cherokee Nation v. Southern Kansas Railway Company,5/19/1890,1890,1890,upheld,Southern Kansas Railway Company (Right of Way) Act,,7/4/1884,71,48,Economic,0.0,0.0,0,0,1.0,0.0,0,0,1
Late Corporation of the Church of Jesus Christ of Latter-Day Saints v. United States,5/19/1890,1890,1890,upheld,Anti-Polygamy Acts,,3/3/1887,38,49,Economic,1.0,1.0,1,0,0.0,0.0,1,3,1
Edward Smith v. United States,11/24/1890,1890,1890,upheld,Guano Islands Act,,8/18/1856,411,34,Separation of Powers,0.0,0.0,1,0,0.0,0.0,1,0,0
Auffmordt v. Hedden,12/8/1890,1890,1890,upheld,Tariff Act of 1851,,3/3/1851,717,31,Due Process,0.0,0.0,1,0,0.0,0.0,1,0,1
Cook v. United States,1/26/1891,1891,1890,upheld,Indian Territory Court Act,,3/1/1889,24,50,Due Process,0.0,0.0,1,0,1.0,0.0,1,0,1
In re Ross,5/25/1891,1891,1890,upheld,12 Stat. 73,,6/22/1860,371,36,Due Process,0.0,0.0,1,0,0.0,0.0,1,0,1
In re Rahrer,5/25/1891,1891,1890,upheld,Originial Packages (Intoxicating Liquors) Act,,8/8/1890,10,51,Federalism,0.0,0.0,0,0,1.0,0.0,1,0,0
In re Garnett,5/25/1891,1891,1890,upheld,Limited Liability Act,,6/19/1886,59,49,Federalism,0.0,0.0,0,0,0.0,0.0,0,0,1
Counselman v. Hitchcock,1/11/1892,1892,1890,struck down as applied,"Interstate Commerce Act, Interstate Commerce Regulations",,3/2/1889,34,50,Due Process,0.0,0.0,1,0,1.0,0.0,0,0,1
Nishimura Ekiu v. United States,1/18/1892,1892,1890,upheld,Immigration Act of 1891,,3/3/1891,12,51,Due Process,1.0,1.0,1,0,0.0,0.0,1,1,0
In re Rapier,2/1/1892,1892,1890,upheld,Anti-Lottery Law,,9/19/1890,16,51,Substantive Rights,0.0,0.0,1,0,0.0,0.0,1,0,0
Horner v. United States,2/29/1892,1892,1890,upheld,Anti-Lottery Law,,9/19/1890,17,51,Substantive Rights,0.0,0.0,1,0,0.0,0.0,1,0,0
Field v. Clark,2/29/1892,1892,1890,upheld,Tariff Act of 1890,,10/1/1890,16,51,Separation of Powers,1.0,1.0,1,0,0.0,0.0,1,2,0
United States v. Ballin,2/29/1892,1892,1890,upheld,Worsted Cloth Act,,5/9/1890,22,51,Economic,0.0,0.0,1,0,1.0,0.0,1,0,0
Logan v. United States,4/4/1892,1892,1890,upheld,Enforcement Act of 1870,,5/31/1870,263,41,Due Process,1.0,1.0,1,0,1.0,0.0,1,0,0
Shoemaker v. United States,1/16/1893,1893,1890,upheld,Rock Creek Park Act,,9/27/1890,28,51,Economic,0.0,0.0,0,0,0.0,0.0,1,0,0
Monongahela Navigation v. United States,3/27/1893,1893,1890,struck down on face,Rivers and Harbors Appropriations Act of 1888,,8/11/1888,56,50,Economic,0.0,0.0,1,0,1.0,1.0,1,0,1
Fong Yue Ting v. United States,5/15/1893,1893,1890,upheld,Chinese Exclusion Act of 1892,,5/6/1892,12,52,Due Process,1.0,1.0,1,0,0.0,0.0,1,3,1
Lees v. United States,12/4/1893,1893,1890,upheld,Alien Contract Labor Act,,2/26/1885,105,48,Due Process,1.0,1.0,1,0,1.0,0.0,1,0,1
Shively v. Bowlby,3/5/1894,1894,1890,struck down as applied,9 Stat. 496,,9/27/1850,522,31,Federalism,0.0,0.0,0,0,0.0,0.0,0,0,1
Luxton v. North River Bridge Company,5/14/1894,1894,1890,upheld,North River Bridge Act,,7/11/1890,46,51,Federalism,0.0,0.0,0,0,0.0,0.0,0,0,0
Interstate Commerce Commission v. Brimson,5/26/1894,1894,1890,upheld,Interstate Commerce Act of 1887,,2/4/1887,88,49,Separation of Powers,1.0,0.0,1,0,1.0,0.0,1,3,1
United States v. Coe,10/29/1894,1894,1890,upheld,Court of Private Land Claims Act,,3/3/1891,44,51,Separation of Powers,0.0,0.0,1,0,0.0,0.0,1,0,0
United States v. E.C. Knight,1/21/1895,1895,1890,struck down as applied,Sherman Anti-Trust Act,,7/2/1890,55,51,Federalism,1.0,1.0,1,0,0.0,0.0,1,1,0
Frisbie v. United States,3/18/1895,1895,1890,upheld,Civil War Pension Act of 1890,,6/27/1890,57,51,Economic,1.0,0.0,1,0,0.0,0.0,1,0,0
Pollock v. Farmers' Loan & Trust Company,4/8/1895,1895,1890,struck down on face,Tariff Act of 1894,,8/27/1894,7,53,Economic,1.0,1.0,1,0,1.0,1.0,0,2,1
Lem Moon Sing v. United States,5/27/1895,1895,1890,upheld,Appropriations Act of 1894,,8/18/1894,9,53,Due Process,0.0,0.0,1,0,0.0,0.0,1,1,1
Pollock v. Farmers' Loan & Trust Company,5/20/1895,1895,1890,struck down on face,Tariff Act of 1894,,8/27/1894,8,53,Economic,1.0,1.0,1,0,1.0,1.0,0,4,1
Chappell v. United States,1/6/1896,1896,1890,upheld,Condemnation Act (Lands for Public Use),,8/1/1888,89,50,Economic,0.0,0.0,1,0,0.0,0.0,1,0,1
United States v. Gettysburg Electric Railway Company,1/27/1896,1896,1890,upheld,Condemnation Act (Lands for Public Use); Gettysburg Battlefield Land Act,,6/5/1894,20,53,Economic,0.0,0.0,1,0,1.0,0.0,1,0,1
Brown v. Walker,3/23/1896,1896,1890,upheld,Compulsory Testimony/Immunity Act (Trusts and Interstate Commerce),,2/11/1893,38,52,Due Process,0.0,0.0,0,0,0.0,0.0,1,4,1
Wong Wing v. United States,5/18/1896,1896,1890,struck down as applied,Chinese Exclusion Act of 1892,,5/6/1892,49,52,Due Process,1.0,0.0,1,0,1.0,1.0,1,1,1
United States v. Realty Company,5/25/1896,1896,1890,upheld,Sugar Bounty Act,,3/2/1895,15,53,Economic,0.0,0.0,1,0,0.0,0.0,1,0,1
Robertson v. Baldwin,1/25/1897,1897,1890,upheld,Government and Regulation of Seamen in the Merchant Service Act,1-25,7/20/1790,1278,1,Separation of Powers,0.0,0.0,1,0,0.0,0.0,1,1,1
Atlantic & Pacific Railroad Company v. Mingus,2/15/1897,1897,1890,upheld,Forfeiture of Land Grants Act,,7/6/1886,128,49,Economic,0.0,0.0,1,0,0.0,0.0,0,0,1
In re Kollock,3/1/1897,1897,1890,upheld,Adulterated Butter Act (Oleomargarine),,8/2/1886,127,49,Separation of Powers,0.0,0.0,1,0,0.0,0.0,1,0,1
In re Chapman,4/19/1897,1897,1890,upheld,Attendance of Witnesses Before Congress Act,,1/24/1857,483,34,Due Process,0.0,0.0,1,0,0.0,0.0,1,0,0
Twin City Bank v. Nebeker,5/10/1897,1897,1890,upheld,National Currency Act of 1864,,6/3/1864,395,38,Separation of Powers,0.0,0.0,1,0,0.0,0.0,1,0,0
Camfield v. United States,5/24/1897,1897,1890,upheld,Unlawful Occupancy of the Public Lands Act,,2/25/1885,147,48,Federalism,1.0,1.0,1,0,0.0,0.0,1,0,1
Bauman v. Ross,5/10/1897,1897,1890,upheld,Highways in the District of Columbia Act,,3/2/1893,50,52,Economic,0.0,0.0,0,0,1.0,0.0,1,0,1
Wilson v. Lambert,1/3/1898,1898,1890,upheld,Rock Creek Park Act,,9/27/1890,87,51,Economic,0.0,0.0,1,0,1.0,0.0,1,0,0
Parsons v. District of Columbia,4/11/1898,1898,1890,upheld,Water Main Assessments in the District of Columbia Act,,8/11/1894,44,53,Due Process,0.0,0.0,0,0,0.0,0.0,1,0,1
United States v. Joint Traffic Association,10/24/1898,1898,1890,upheld,"Interstate Commerce Act of 1895, Sherman Anti-Trust Act",,2/8/1895,45,53,Economic,1.0,1.0,1,0,1.0,0.0,1,3,1
Hopkins v. United States,10/24/1898,1898,1890,struck down as applied,Sherman Anti-Trust Act,,7/2/1890,100,51,Economic,1.0,1.0,1,1,1.0,0.0,1,0,0
United States v. Duell,1/23/1899,1899,1890,upheld,Court of Appeals of District of Columbia Act,,2/9/1893,72,52,Separation of Powers,0.0,0.0,1,0,0.0,0.0,1,0,1
Nicol v. Ames,4/3/1899,1899,1890,upheld,War Revenue Act,,6/13/1898,10,55,Economic,1.0,0.0,1,0,0.0,0.0,1,0,0
Capital Traction Co. v. Hof,4/11/1899,1899,1890,upheld,District of Columbia Justices of the Peace Act,,2/19/1895,50,53,Due Process,0.0,0.0,0,0,0.0,0.0,0,1,1
Stephens v. Cherokee Nation,5/15/1899,1899,1890,upheld,Indian Appropriation Act,,7/1/1898,11,55,Separation of Powers,1.0,1.0,0,0,0.0,0.0,0,2,0
Kirby v. United States,4/11/1899,1899,1890,struck down on face,Larceny of United States Property Act,,3/3/1875,289,43,Due Process,0.0,0.0,1,0,1.0,1.0,1,2,0
Jones v. Meehan,10/30/1899,1899,1890,struck down on face,Joint Resolution Authorizing the Secretary of the Interior to Approve a Certain Lease,,8/7/1894,63,53,Economic,0.0,0.0,0,0,0.0,1.0,0,0,1
Addyston Pipe and Steel Company v. United States,12/4/1899,1899,1890,upheld,Sherman Anti-Trust Act,,7/2/1890,113,51,Economic,1.0,1.0,1,0,0.0,0.0,1,0,0
Bradfield v. Roberts,12/4/1899,1899,1890,upheld,Providence Hospital Act,,3/3/1897,33,54,Substantive Rights,0.0,0.0,1,0,0.0,0.0,1,0,0
La Abra Silver Mining Company v. United States,12/11/1899,1899,1890,upheld,La Abra Silver Mining Company Act,,12/28/1892,83,52,Separation of Powers,0.0,0.0,1,0,0.0,0.0,1,0,1
Knowlton v. Moore,5/14/00,1900,1900,upheld,War Revenue Act,,6/13/1898,23,55,Economic,1.0,0.0,1,0,1.0,0.0,1,3,0
Neely v. Henkel,1/14/01,1901,1900,upheld,Extradition Act,,6/6/00,7,56,Due Process,0.0,0.0,1,0,0.0,0.0,1,0,0
Rice v. Ames,2/25/01,1901,1900,upheld,United States Commissioners Act,,5/28/1896,57,54,Separation of Powers,0.0,0.0,0,0,0.0,0.0,1,0,0
Li Sing v. United States,3/18/01,1901,1900,upheld,Chinese Exclusion Act of 1893 (McCreary Act),,11/3/1893,89,53,Due Process,0.0,0.0,1,1,0.0,0.0,1,0,1
Fairbank v. United States,4/15/01,1901,1900,struck down on face,War Revenue Act,,6/13/1898,35,55,Economic,1.0,0.0,1,0,1.0,1.0,1,4,0
Wight v. Davidson,4/29/01,1901,1900,upheld,S Street (District of Columbia) Act,,3/3/1899,26,55,Economic,0.0,0.0,0,0,1.0,0.0,0,3,0
Downes v. Bidwell,5/27/01,1901,1900,upheld,Foraker Act (Puerto Rico Civil Code),,4/12/00,14,56,Economic,1.0,1.0,1,0,0.0,0.0,1,4,0
Dooley v. United States,12/2/01,1901,1900,upheld,Foraker Act (Puerto Rico Civil Code),,4/12/00,20,56,Economic,1.0,1.0,1,0,0.0,0.0,1,4,0
Patton v. Brady,3/17/02,1902,1900,upheld,War Revenue Act,,6/13/1898,46,55,Economic,1.0,1.0,1,0,0.0,0.0,0,0,0
McFaddin v. Evans-Snider-Buel Company,5/19/02,1902,1900,upheld,Indian Territory Mortgages Act,,2/3/1897,64,54,Economic,0.0,0.0,0,0,0.0,0.0,0,0,0
Felsenheld v. United States,5/19/02,1902,1900,upheld,Tariff Act of 1897 (Dingley Act),,7/24/1897,58,55,Economic,1.0,0.0,1,0,0.0,0.0,1,1,0
Hanover National Bank v. Moyses,6/2/02,1902,1900,upheld,Bankruptcy Actof 1898,,7/1/1898,47,55,Economic,1.0,1.0,0,0,0.0,0.0,0,0,0
Cherokee Nation v. Hitchcock,12/1/02,1902,1900,upheld,Curtis Act (Indians in Indian Territory),,6/28/1898,53,55,Economic,1.0,1.0,1,0,0.0,0.0,1,0,0
Lone Wolf v. Hitchcock,1/5/03,1903,1900,upheld,"Comanche, Kiowa, and Apache Tribes Act (Fort Hall Indian Reservation Act)",,6/6/00,31,56,Federalism,0.0,0.0,1,0,0.0,0.0,1,0,0
Bleistein v. Donaldson Lithographing Company,2/2/03,1903,1900,upheld,Copyright Acts of 1874,,6/18/1874,343,43,Economic,0.0,0.0,0,0,1.0,0.0,0,2,0
Champion v. Ames (Lottery Case),2/23/03,1903,1900,upheld,Suppression of Lotteries Act,,3/2/1895,96,53,Federalism,0.0,0.0,1,0,0.0,0.0,1,4,1
Japanese Immigrant Case,4/6/03,1903,1900,upheld,Alien Labor Immigration Act,,3/3/1891,145,51,Due Process,1.0,1.0,1,0,0.0,0.0,1,2,0
James v. Bowman,5/4/03,1903,1900,struck down on face,Enforcement Act of 1870,,5/31/1870,395,41,Federalism,1.0,1.0,1,0,0.0,1.0,1,2,0
Patterson v. Bark Eudora,6/1/03,1903,1900,upheld,Merchant Seamen Act,,12/21/1898,53,55,Federalism,0.0,0.0,0,0,0.0,0.0,0,0,0
Snyder v. Bettman,6/1/03,1903,1900,upheld,War Revenue Act,,6/13/1898,60,55,Federalism,1.0,0.0,1,0,0.0,0.0,1,3,0
Thomas v. United States,2/23/04,1904,1900,upheld,War Revenue Act,,6/13/1898,69,55,Economic,1.0,0.0,1,0,0.0,0.0,1,0,0
Spreckels Sugar Refining Company v. McClain,2/23/04,1904,1900,upheld,War Revenue Act,,6/13/1898,69,55,Economic,1.0,0.0,1,0,1.0,0.0,1,2,0
Cornell v. Coyne,2/23/04,1904,1900,upheld,Filled Cheese Act,,6/6/1896,93,54,Economic,0.0,0.0,1,0,0.0,0.0,1,2,0
Buttfield v. Stranahan,2/23/04,1904,1900,upheld,Tea Inspection/Importation Act,,3/2/1897,84,54,Economic,0.0,0.0,1,0,0.0,0.0,1,0,0
Northern Securities Company v. United States,3/14/04,1904,1900,upheld,Sherman Anti-Trust Act,,7/2/1890,164,51,Federalism,1.0,1.0,1,0,0.0,0.0,1,4,0
United States v. Sing Tuck,4/25/04,1904,1900,upheld,Appropriations Act of 1894,,8/18/1894,104,53,Due Process,0.0,0.0,1,1,1.0,0.0,1,2,0
Interstate Commerce Commission v. Baird,4/4/04,1904,1900,upheld,Compulsory Testimony/Immunity Act (Trusts and Interstate Commerce),,2/11/1893,134,52,Due Process,0.0,0.0,0,0,1.0,0.0,1,1,1
United States ex rel. John Turner v. Williams,5/16/04,1904,1900,upheld,Alien Immigration Act of 1903,57-162,3/3/03,15,57,Separation of Powers,0.0,0.0,1,0,0.0,0.0,1,0,0
Binns v. United States,5/31/04,1904,1900,upheld,Carter Act (Alaska Civil Code),,6/6/00,48,56,Economic,1.0,0.0,1,0,0.0,0.0,1,0,0
Public Clearing House v. Coyne,5/31/04,1904,1900,upheld,Anti-Lottery Law,,9/19/1890,44,51,Due Process,0.0,0.0,1,0,0.0,0.0,1,1,0
McCray v. United States,5/31/04,1904,1900,upheld,Adulterated Butter Act (Oleomargarine),,8/2/1886,214,49,Economic,0.0,0.0,1,0,0.0,0.0,1,3,1
Clyatt v. United States,3/13/05,1905,1900,upheld,Anti-Peonage Act,,3/2/1867,456,39,Federalism,0.0,0.0,1,1,1.0,0.0,1,0,0
In Re Heff,4/10/05,1905,1900,struck down as applied,Intoxicating Drinks to Indians Act,,1/30/1897,98,54,Federalism,0.0,0.0,1,0,0.0,1.0,1,1,0
Rassmussen v. United States,4/10/05,1905,1900,struck down on face,Carter Act (Alaska Civil Code),,6/6/00,58,56,Due Process,1.0,0.0,1,0,1.0,1.0,1,0,0
United States v. Ju Toy,5/8/05,1905,1900,upheld,Carey Act (Bureau of Immigration),,8/18/1894,128,53,Due Process,0.0,0.0,1,0,0.0,0.0,1,3,1
South Carolina v. United States,12/4/05,1905,1900,upheld,Internal Revenue Act of 1879,,3/1/1879,311,45,Economic,0.0,0.0,1,0,0.0,0.0,1,3,1
Burton v. United States,5/21/06,1906,1900,upheld,Members of Congress Not to Receive Money Act,,6/11/1864,504,38,Separation of Powers,0.0,0.0,1,0,0.0,0.0,1,3,0
Millard v. Roberts,5/21/06,1906,1900,upheld,"District of Columbia, Union Railroad Station",57-122,2/28/03,39,57,Separation of Powers,0.0,0.0,1,0,0.0,0.0,1,0,0
Hodges v. United States,5/28/06,1906,1900,struck down on face,Enforcement Act of 1870,,5/31/1870,432,41,Federalism,1.0,1.0,1,0,0.0,1.0,1,2,0
Wilson v. Shaw,1/7/07,1907,1900,upheld,Spooner Act,57-183,6/28/02,55,57,Federalism,1.0,1.0,1,0,0.0,0.0,1,0,0
Union Bridge Company v. United States,2/25/07,1907,1900,upheld,Rivers and Harbors Appropriations Act of 1899,,3/3/1899,96,55,Separation of Powers,0.0,0.0,1,0,0.0,0.0,1,2,0
Wallace v. Adams,2/25/07,1907,1900,upheld,Choctaw-Chickasaw Supplemental Agreement Act,57-228,7/1/02,56,57,Separation of Powers,0.0,0.0,0,0,0.0,0.0,0,0,0
Martin v. District of Columbia,3/11/07,1907,1900,struck down as applied,Alleys in the District of Columbia; Streets in the District of Columbia,,8/24/1894,150,52,Economic,0.0,0.0,0,0,1.0,0.0,1,0,1
Ellis v. United States,5/13/07,1907,1900,upheld,Eight-Hour Law,,8/1/1892,201,52,Economic,1.0,1.0,1,0,1.0,0.0,1,3,1
United States v. Heinszen & Company,5/27/07,1907,1900,upheld,Philippine Tariff Act of 1906,59-381,6/30/06,11,59,Economic,0.0,0.0,1,0,1.0,0.0,1,2,0
Howard v. Illinois Central Railroad Company and the Yazoo & Mississippi Valley Railroad Company (Employers' Liability Cases),1/6/08,1908,1900,struck down on face,Employers' Liability Act of 1906,59-219,6/11/06,19,59,Federalism,1.0,1.0,1,0,0.0,1.0,0,4,0
Adair v. United States,1/27/08,1908,1900,struck down on face,Erdman Act,,6/1/1898,116,55,Economic,1.0,0.0,1,0,1.0,1.0,1,2,0
Dick v. United States,2/24/08,1908,1900,upheld,Indian Country Intoxicants Act,,7/23/1892,175,52,Federalism,0.0,0.0,1,0,0.0,0.0,1,0,1
United States v. Bitty,2/24/08,1908,1900,upheld,Criminal Appeals Act,59-224,3/2/07,12,59,Separation of Powers,0.0,0.0,1,0,1.0,0.0,1,0,0
Armour Packing Co. v. United States,3/16/08,1908,1900,upheld,Elkins Act,57-103,2/19/03,61,57,Economic,1.0,1.0,1,1,0.0,0.0,1,3,0
In re Wood and Henderson,5/18/08,1908,1900,upheld,Bankruptcy Act of 1898,,7/1/1898,119,55,Due Process,1.0,0.0,0,0,0.0,0.0,0,3,0
New York Central & Hudson River Railroad Company v. United States,2/23/09,1909,1900,upheld,Elkins Act,57-103,2/19/03,72,57,Due Process,1.0,1.0,1,0,0.0,0.0,1,0,0
Keller v. United States,4/5/09,1909,1900,struck down as applied,Immigration Act of 1907,59-96,2/20/07,25,59,Federalism,1.0,0.0,1,0,1.0,1.0,1,3,0
United States v. Evans,4/19/09,1909,1900,struck down on face,District of Columbia Code,,3/3/01,98,56,Separation of Powers,0.0,0.0,1,1,0.0,1.0,1,0,0
United States ex rel. Attorney General v. Delaware & Hudson Company,5/3/09,1909,1900,upheld,Hepburn Act (Interstate Commerce),59-337,6/29/06,34,59,Federalism,1.0,1.0,1,0,0.0,0.0,1,1,0
District of Columbia v. Brooke,5/17/09,1909,1900,upheld,District of Columbia Drainage Act,,5/19/1896,156,54,Economic,0.0,0.0,0,0,1.0,0.0,1,0,0
Oceanic Steam Navigation Company v. Stranahan,6/1/09,1909,1900,upheld,Alien Immigration Act of 1903,57-162,3/3/03,75,57,Separation of Powers,0.0,0.0,1,0,0.0,0.0,1,0,0
El Paso & Northeastern Railway Company v. Gutierrez,11/15/09,1909,1900,upheld,Employers' Liability Act of 1906,59-219,6/11/06,42,59,Federalism,1.0,0.0,0,0,0.0,0.0,0,0,0
Alvarez y Sanchez v. United States,2/21/10,1910,1910,upheld,Foraker Act (Puerto Rico Civil Code),,4/12/00,119,56,Economic,1.0,0.0,1,0,0.0,0.0,1,0,0
Monongahela Bridge Company v. United States,2/21/10,1910,1910,upheld,Rivers and Harbors Appropriations Act of 1899,,3/3/1899,132,55,Separation of Powers,0.0,0.0,1,0,0.0,0.0,1,1,0
Haas v. Henkel,2/21/10,1910,1910,upheld,Judiciary Act of 1789,1-20,9/24/1789,1445,1,Due Process,0.0,0.0,1,0,0.0,0.0,1,0,1
Franklin v. United States,3/14/10,1910,1910,upheld,Harbor Defenses and Fortifications,,7/7/1898,140,55,Federalism,0.0,0.0,1,0,0.0,0.0,1,0,0
Holmgren v. United States,5/16/10,1910,1910,upheld,Naturalization of Aliens Act,59-338,6/29/06,47,59,Federalism,1.0,0.0,1,1,0.0,0.0,1,0,0
Atlantic Coast Line Railroad Company v. Riverside Mills,1/3/11,1911,1910,upheld,Hepburn Act (Interstate Commerce) - Carmack Amendment,59-337,6/29/06,54,59,Economic,1.0,0.0,1,0,0.0,0.0,0,0,0
In re Gregory,1/3/11,1911,1910,upheld,Gift Entreprises in DC,,2/17/1873,454,42,Due Process,0.0,0.0,0,0,0.0,0.0,1,0,0
Muskrat v. United States,1/23/11,1911,1910,struck down on face,Indian Service Appropriations,59-154,3/1/07,47,59,Separation of Powers,0.0,0.0,0,0,1.0,1.0,1,0,0
Louisiana & Nashville Railroad Company v. Mottley,2/20/11,1911,1910,upheld,Hepburn Act (Interstate Commerce),59-337,6/29/06,56,59,Federalism,1.0,1.0,0,0,1.0,0.0,0,0,0
Flint v. Stone Tracy Company,3/13/11,1911,1910,upheld,Corporation Tax Act (Tariff of 1909),61-5,8/5/09,19,61,Economic,1.0,1.0,1,0,0.0,0.0,0,0,0
United States v. Grimaud,5/3/11,1911,1910,upheld,"Forest Reserve Acts, Lieu Lands Act (Forest Reservations)",,6/4/1897,167,55,Separation of Powers,1.0,0.0,1,0,1.0,0.0,1,0,0
Light v. United States,5/1/11,1911,1910,upheld,"Forest Reserve Acts, Lieu Lands Act (Forest Reservations)",,6/4/1897,167,55,Federalism,1.0,0.0,0,0,0.0,0.0,1,0,0
Standard Oil Company of New Jersey v. United States,5/15/11,1911,1910,upheld,Sherman Anti-Trust Act,,7/2/1890,239,51,Economic,1.0,1.0,1,0,0.0,0.0,1,1,0
Hannibal Bridge Company v. United States,5/15/11,1911,1910,upheld,Rivers and Harbors Appropriations Act of 1899,,3/3/1899,147,55,Federalism,0.0,0.0,1,0,0.0,0.0,1,0,0
Marchie Tiger v. Western Investment Company,5/15/11,1911,1910,upheld,Five Civilized Tribes Act (Curtis Act),59-129,4/26/06,61,59,Economic,0.0,0.0,1,0,1.0,0.0,0,0,0
Briscoe v. Rudolph,5/29/11,1911,1910,upheld,District of Columbia Act,,2/10/1899,148,55,Economic,0.0,0.0,0,0,0.0,0.0,1,0,0
Coyle v. Smith,5/29/11,1911,1910,struck down on face,Oklahomo Statehood Enabling Act,59-234,6/16/06,59,59,Federalism,1.0,0.0,0,0,0.0,1.0,0,2,0
Baltimore & Ohio Railroad Company v. Interstate Commerce Commission,5/29/11,1911,1910,upheld,Hours of Service Act (Railroads),59-274,3/4/07,51,59,Federalism,0.0,0.0,1,0,0.0,0.0,1,0,0
Southern Railway Company v. United States,10/30/11,1911,1910,upheld,Safety Appliance Acts (Railroads),,3/2/1893,224,52,Federalism,1.0,1.0,1,0,0.0,0.0,1,0,1
Kalem Company v. Harper Brothers,11/13/11,1911,1910,upheld,Copyright Acts of 1891,,3/3/1891,248,51,Economic,1.0,0.0,0,0,0.0,0.0,0,0,0
"Mondou v. New York, New Haven & Hartford Railroad Company (Second Employers' Liability Cases)",1/15/12,1912,1910,upheld,Employers' Liability Act of 1908 (Railroads),60-100,4/22/08,45,60,Federalism,1.0,1.0,1,0,1.0,0.0,0,0,0
The Abby Dodge v. United States,2/19/12,1912,1910,upheld,Sponges Act,63-172,6/20/06,68,59,Federalism,0.0,0.0,1,0,1.0,0.0,1,0,0
Philadelphia Company v. Stimson,3/4/12,1912,1910,upheld,Rivers and Harbors Appropriations Act of 1899,,3/3/1899,156,55,Federalism,0.0,0.0,1,0,0.0,0.0,1,0,0
Interstate Commerce Commission v. Goodrich Transit Company,4/1/12,1912,1910,upheld,Hepburn Act (Interstate Commerce),59-337,6/29/06,69,59,Federalism,1.0,1.0,0,0,1.0,0.0,1,2,0
Gritts v. Fisher,5/13/12,1912,1910,upheld,Cherokee Agreement Act,57-241,7/1/02,118,57,Federalism,0.0,0.0,1,0,0.0,0.0,1,0,0
Choat v. Trapp,5/13/12,1912,1910,struck down on face,Five Civilized Tribes Restrictions Removal Act,60-130,5/27/08,47,60,Economic,0.0,0.0,0,0,1.0,1.0,0,0,0
Johannessen v. United States,5/27/12,1912,1910,upheld,Naturalization of Aliens Act,59-338,6/29/06,71,59,Separation of Powers,1.0,0.0,1,0,0.0,0.0,1,0,0
Zakonaite v. Wolf,12/2/12,1912,1910,upheld,Immigration Act of 1907,59-96,2/20/07,69,59,Due Process,1.0,0.0,1,0,0.0,0.0,0,0,0
Hoke and Economides v. United States,2/24/13,1913,1910,upheld,White Slave Traffic Act,61-277,6/25/10,32,61,Federalism,1.0,1.0,1,0,0.0,0.0,1,0,0
Bugajewitz v. Adams,5/12/13,1913,1910,upheld,Immigration Act of 1907,59-96,2/20/07,74,59,Due Process,1.0,0.0,1,0,0.0,0.0,1,0,0
"Pedersen v. Delaware, L.&W.R. Co.",5/26/13,1913,1910,upheld,Employers' Liability Act of 1908 (Railroads),60-100,4/22/08,61,60,Economic,1.0,1.0,0,0,1.0,0.0,0,3,0
Swigart v. Baker,5/26/13,1913,1910,upheld,Reclamation Act of 1902,57-161,6/17/02,131,57,Separation of Powers,1.0,1.0,1,0,0.0,0.0,1,0,0
