CASE,CITATION,DATE,YEAR,DECADE,DECISION,DECISION2,EFFECT,STAT NAME,STAT CITE,PL #,S-DATE,TIME TO DECISION,CONGRESS,AREA1,AREA2,LNDMRK,LNDDTL,ATT GEN,CERT,REVERSD,CRS,GVT PRTY,DISSENT,H-CT
United States v. Stanley,109 U.S. 3,10/15/1883,1883,1880,1,1,struck down as applied,Civil Rights Act of 1875,18 Stat. 335,,3/1/1875,103,43,3,5,1,1,1,0,0,1,1,1,0
Miller v. Mayor of New York,109 U.S. 385,11/26/1883,1883,1880,0,0,upheld,Brooklyn Bridge Authorization Act,15 Stat. 336,,3/3/1869,177,40,5,,0,0,0,0,0,0,0,0,0
United States v. Jones,109 U.S. 513,12/10/1883,1883,1880,0,0,upheld,Improvement of the Wisconsin and Fox Rivers,16 Stat. 189,,7/7/1870,161,41,1,,0,0,1,0,0,0,1,0,0
Legal Tender Case,110 U.S. 421,3/3/1884,1884,1880,0,0,upheld,Currency Act,20 Stat. 87,,5/31/1878,45,45,5,,0,0,0,0,0,0,0,1,1
Mitchell v. Clark,110 U.S. 633,3/3/1884,1884,1880,0,0,upheld,"Habeas Corpus Act (Civil War), Orders From Superior Officer to be a Defence in Certain Suits",14 Stat. 46,,5/11/1866,214,39,5,1,0,0,0,0,1,0,0,1,0
Ex parte Yarbrough,110 U.S. 651,3/3/1884,1884,1880,0,0,upheld,Civil Rights Act of 1871,17 Stat. 13,,4/20/1871,155,42,1,3,1,1,1,0,0,0,1,0,0
Bors v. Preston,111 U.S. 252,4/7/1884,1884,1880,0,0,upheld,Judiciary Act of 1875,18 Stat. 470,,3/3/1875,109,43,6,,0,0,0,0,1,0,0,0,0
Ames v. Kansas,111 U.S. 449,4/21/1884,1884,1880,0,0,upheld,Circuit Courts (Removal),18 Stat. 470,,3/3/1875,110,43,5,4,0,0,0,0,1,0,0,0,0
Burrow-Giles Lithographic Co. v. Sarony,111 U.S. 53,3/17/1884,1884,1880,0,0,upheld,Copyright Acts,18 Stat. 78,,6/18/1874,117,43,4,,0,0,0,0,0,0,0,0,0
Hitz v. National Metropolitan Bank,111 U.S. 722,5/5/1884,1884,1880,0,0,upheld,District of Columbia Recording Act,20 Stat. 39,,4/29/1878,72,45,4,,0,0,0,0,1,0,0,0,1
Edye v. Robertson,112 U.S. 580,12/8/1884,1884,1880,0,0,upheld,Immigration Fund Act,22 Stat. 214,,8/3/1882,28,47,4,,1,1,1,0,0,0,1,0,0
United States v. Great Fall Manufacturing Co.,112 U.S. 645,12/22/1884,1884,1880,1,1,struck down as applied,11 Stat. 263,11 Stat. 263,,4/8/1858,320,35,4,,0,0,1,0,0,0,1,0,1
Murphy v. Ramsey,114 U.S. 15,3/23/1885,1885,1880,0,0,upheld,Edmunds Act (Polygamy),22 Stat. 30,,3/22/1882,36,47,3,1,1,1,1,0,1,0,1,0,0
The Laura,114 U.S. 411,4/13/1885,1885,1880,0,0,upheld,16 Stat. 458,16 Stat. 458,,2/28/1871,178,41,6,1,0,0,0,0,0,0,0,0,0
Northern Pacific Railway Company v. Traill County,115 U.S. 600,12/7/1885,1885,1880,0,0,upheld,Civil Expenses Appropriation Act,16 Stat. 291,,7/15/1870,184,41,4,5,0,0,0,0,1,0,0,0,0
Gibbons v. District of Columbia,116 U.S. 404,1/18/1886,1886,1880,0,0,upheld,"District of Columbia, Taxes in the District of Columbia Act, District of Columbia",19 Stat. 396,,3/3/1877,107,44,5,4,0,0,0,0,0,0,1,0,1
United States v. Perkins,116 U.S. 483,1/25/1886,1886,1880,0,0,upheld,14 stat. 92,14 Stat. 92,,7/13/1866,258,39,6,,0,0,1,0,0,0,1,0,0
Boyd v. United States,116 U.S. 616,2/1/1886,1886,1880,1,1,struck down as applied,Anti-Moiety Act (Informers),18 Stat. 186,,6/22/1874,139,43,1,,0,0,1,0,1,1,1,0,0
Turpin v. Burgess,117 U.S. 504,4/5/1886,1886,1880,0,0,upheld,Internal Taxes on Distilled Spirits and Tobacco Act,15 Stat. 125,,7/20/1868,212,40,4,,0,0,1,0,0,0,1,0,0
United States v. Central Pacific Railroad Co.,118 U.S. 235,5/18/1886,1886,1880,0,0,upheld,Thurman Act (Pacific Railroads),20 Stat. 56,,5/7/1878,97,45,4,,0,0,1,0,0,0,1,0,1
United States v. Kagama,118 U.S. 375,5/10/1886,1886,1880,0,0,upheld,Indian Appropriation Act,23 Stat. 362,,3/3/1885,14,48,5,1,0,0,1,0,0,0,1,0,1
Hart v. United States,118 U.S. 62,4/26/1886,1886,1880,0,0,upheld,"Court of Claims, Appeals",15 Stat. 75,,6/25/1868,214,40,6,,0,0,1,0,0,0,1,0,0
United States v. Arjona,120 U.S. 479,3/7/1887,1887,1880,0,0,upheld,Counterfeiting Act,23 Stat. 22,,5/16/1884,33,48,1,5,0,0,1,0,0,0,1,0,1
Baldwin v. Franks,120 U.S. 678,3/7/1887,1887,1880,2,1,struck down on face,Civil Rights Act of 1871,17 Stat. 13,,4/20/1871,143,42,3,1,1,1,0,0,1,1,1,2,0
United States v. Louisiana,123 U.S. 32,10/24/1887,1887,1880,0,0,upheld,"Amended Tariff (Direct Tax, Income Tax)",12 Stat. 292,,8/5/1861,315,37,5,4,1,0,1,0,0,0,1,0,0
Great Falls Manufacturing Co. v. Attorney General,124 U.S. 581,2/6/1888,1888,1880,0,0,upheld,"Water-Supply, DC",22 Stat. 168,,7/15/1882,67,47,5,1,0,0,1,0,0,0,1,0,0
California v. Central Pacific Railroad,127 U.S. 1,4/30/1888,1888,1880,0,0,upheld,Pacific Railroad Act,12 Stat. 489,,7/1/1862,309,37,5,,1,1,0,0,0,0,0,0,0
Callan v. Wilson,127 U.S. 540,5/14/1888,1888,1880,2,1,struck down on face,15 Stat. 76,15 Stat. 76,,6/25/1868,239,40,1,,0,0,1,0,1,1,1,0,0
In re Coy,127 U.S. 731,5/14/1888,1888,1880,0,0,upheld,Conspiracies to Defraud the US Act,21 Stat. 4,,5/17/1879,107,46,1,,0,0,1,0,0,0,1,1,1
United States ex rel. Levey v. Stockslager,129 U.S. 470,3/5/1889,1889,1880,0,0,upheld,An Act for the Relief of the Heirs of John E. Bouligny,14 Stat. 635,,3/2/1867,264,39,4,,0,0,1,0,0,0,1,0,0
Botiller v. Dominguez,130 U.S. 238,4/1/1889,1889,1880,0,0,upheld,Land Claims in California Act,9 Stat. 631,,3/3/1851,457,31,5,,0,0,0,0,1,0,0,0,1
Crenshaw v. United States,134 U.S. 99,3/3/1890,1890,1890,0,0,upheld,Naval Appropriation Act,22 Stat. 284,,8/5/1882,91,47,4,6,0,0,1,0,0,0,1,0,0
Cherokee Nation v. Southern Kansas Railway Company,135 U.S. 641,5/19/1890,1890,1890,0,0,upheld,Southern Kansas Railway Company (Right of Way) Act,23 Stat. 73,,7/4/1884,71,48,4,,0,0,0,0,1,0,0,0,1
Late Corporation of the Church of Jesus Christ of Latter-Day Saints v. United States,136 U.S. 1,5/19/1890,1890,1890,0,0,upheld,Anti-Polygamy Acts,24 Stat. 635,,3/3/1887,38,49,4,2,1,1,1,0,0,0,1,3,1
Edward Smith v. United States,137 U.S. 202,11/24/1890,1890,1890,0,0,upheld,Guano Islands Act,11 Stat. 119,,8/18/1856,411,34,6,1,0,0,1,0,0,0,1,0,0
Auffmordt v. Hedden,137 U.S. 310,12/8/1890,1890,1890,0,0,upheld,Tariff Act of 1851,9 Stat. 629,,3/3/1851,717,31,1,,0,0,1,0,0,0,1,0,1
Cook v. United States,138 U.S. 157,1/26/1891,1891,1890,0,0,upheld,Indian Territory Court Act,25 Stat. 783,,3/1/1889,24,50,1,,0,0,1,0,1,0,1,0,1
In re Ross,140 U.S. 453,5/25/1891,1891,1890,0,0,upheld,12 Stat. 73,12 Stat. 73,,6/22/1860,371,36,1,,0,0,1,0,0,0,1,0,1
In re Rahrer,140 U.S. 545,5/25/1891,1891,1890,0,0,upheld,Originial Packages (Intoxicating Liquors) Act,26 Stat. 313,,8/8/1890,10,51,5,,0,0,0,0,1,0,1,0,0
In re Garnett,141 U.S. 1,5/25/1891,1891,1890,0,0,upheld,Limited Liability Act,24 Stat. 79,,6/19/1886,59,49,5,,0,0,0,0,0,0,0,0,1
Counselman v. Hitchcock,142 U.S. 547,1/11/1892,1892,1890,1,1,struck down as applied,"Interstate Commerce Act, Interstate Commerce Regulations",25 Stat. 855,,3/2/1889,34,50,1,,0,0,1,0,1,0,0,0,1
Nishimura Ekiu v. United States,142 U.S. 651,1/18/1892,1892,1890,0,0,upheld,Immigration Act of 1891,26 Stat. 1084,,3/3/1891,12,51,1,3,1,1,1,0,0,0,1,1,0
In re Rapier,143 U.S. 110,2/1/1892,1892,1890,0,0,upheld,Anti-Lottery Law,26 Stat. 465,,9/19/1890,16,51,2,5,0,0,1,0,0,0,1,0,0
Horner v. United States,143 U.S. 207,2/29/1892,1892,1890,0,0,upheld,Anti-Lottery Law,26 Stat. 465,,9/19/1890,17,51,2,,0,0,1,0,0,0,1,0,0
Field v. Clark,143 U.S. 649,2/29/1892,1892,1890,0,0,upheld,Tariff Act of 1890,26 Stat. 567,,10/1/1890,16,51,6,,1,1,1,0,0,0,1,2,0
United States v. Ballin,144 U.S. 1,2/29/1892,1892,1890,0,0,upheld,Worsted Cloth Act,26 Stat. 105,,5/9/1890,22,51,4,6,0,0,1,0,1,0,1,0,0
Logan v. United States,144 U.S. 263,4/4/1892,1892,1890,0,0,upheld,Enforcement Act of 1870,16 Stat. 141,,5/31/1870,263,41,1,,1,1,1,0,1,0,1,0,0
Shoemaker v. United States,147 U.S. 282,1/16/1893,1893,1890,0,0,upheld,Rock Creek Park Act,26 Stat. 496,,9/27/1890,28,51,4,5,0,0,0,0,0,0,1,0,0
Monongahela Navigation v. United States,148 U.S. 312,3/27/1893,1893,1890,2,1,struck down on face,Rivers and Harbors Appropriations Act of 1888,25 Stat. 400,,8/11/1888,56,50,4,,0,0,1,0,1,1,1,0,1
Fong Yue Ting v. United States,149 U.S. 698,5/15/1893,1893,1890,0,0,upheld,Chinese Exclusion Act of 1892,22 Stat. 58,,5/6/1892,12,52,1,3,1,1,1,0,0,0,1,3,1
Lees v. United States,150 U.S. 476,12/4/1893,1893,1890,0,0,upheld,Alien Contract Labor Act,23 Stat. 332,,2/26/1885,105,48,1,,1,1,1,0,1,0,1,0,1
Shively v. Bowlby,152 U.S. 1,3/5/1894,1894,1890,1,1,struck down as applied,9 Stat. 496,9 Stat. 496,,9/27/1850,522,31,5,,0,0,0,0,0,0,0,0,1
Luxton v. North River Bridge Company,153 U.S. 525,5/14/1894,1894,1890,0,0,upheld,North River Bridge Act,26 Stat. 268,,7/11/1890,46,51,5,,0,0,0,0,0,0,0,0,0
Interstate Commerce Commission v. Brimson,154 U.S. 447,5/26/1894,1894,1890,0,0,upheld,Interstate Commerce Act of 1887,24 Stat. 379,,2/4/1887,88,49,6,1,1,0,1,0,1,0,1,3,1
United States v. Coe,155 U.S. 76,10/29/1894,1894,1890,0,0,upheld,Court of Private Land Claims Act,26 Stat. 854,,3/3/1891,44,51,6,,0,0,1,0,0,0,1,0,0
United States v. E.C. Knight,156 U.S. 1,1/21/1895,1895,1890,1,1,struck down as applied,Sherman Anti-Trust Act,26 Stat. 209,,7/2/1890,55,51,5,,1,1,1,0,0,0,1,1,0
Frisbie v. United States,157 U.S. 160,3/18/1895,1895,1890,0,0,upheld,Civil War Pension Act of 1890,26 Stat. 182,,6/27/1890,57,51,4,,1,0,1,0,0,0,1,0,0
Pollock v. Farmers' Loan & Trust Company,157 U.S. 429,4/8/1895,1895,1890,2,1,struck down on face,Tariff Act of 1894,28 Stat. 509,,8/27/1894,7,53,4,5,1,1,1,0,1,1,0,2,1
Lem Moon Sing v. United States,158 U.S. 538,5/27/1895,1895,1890,0,0,upheld,Appropriations Act of 1894,28 Stat. 390,,8/18/1894,9,53,1,6,0,0,1,0,0,0,1,1,1
Pollock v. Farmers' Loan & Trust Company,158 U.S. 601,5/20/1895,1895,1890,2,1,struck down on face,Tariff Act of 1894,28 Stat. 509,,8/27/1894,8,53,4,5,1,1,1,0,1,1,0,4,1
Chappell v. United States,160 U.S. 499,1/6/1896,1896,1890,0,0,upheld,Condemnation Act (Lands for Public Use),25 Stat. 357,,8/1/1888,89,50,4,6,0,0,1,0,0,0,1,0,1
United States v. Gettysburg Electric Railway Company,160 U.S. 668,1/27/1896,1896,1890,0,0,upheld,Condemnation Act (Lands for Public Use); Gettysburg Battlefield Land Act,28 Stat. 584,,6/5/1894,20,53,4,,0,0,1,0,1,0,1,0,1
Brown v. Walker,161 U.S. 591,3/23/1896,1896,1890,0,0,upheld,Compulsory Testimony/Immunity Act (Trusts and Interstate Commerce),27 Stat. 443,,2/11/1893,38,52,1,6,0,0,0,0,0,0,1,4,1
Wong Wing v. United States,163 U.S. 228,5/18/1896,1896,1890,1,1,struck down as applied,Chinese Exclusion Act of 1892,22 Stat. 58,,5/6/1892,49,52,1,3,1,0,1,0,1,1,1,1,1
United States v. Realty Company,163 U.S. 427,5/25/1896,1896,1890,0,0,upheld,Sugar Bounty Act,28 Stat. 910,,3/2/1895,15,53,4,,0,0,1,0,0,0,1,0,1
Robertson v. Baldwin,165 U.S. 275,1/25/1897,1897,1890,0,0,upheld,Government and Regulation of Seamen in the Merchant Service Act,1 Stat. 131,1-25,7/20/1790,1278,1,6,2,0,0,1,0,0,0,1,1,1
Atlantic & Pacific Railroad Company v. Mingus,165 U.S. 413,2/15/1897,1897,1890,0,0,upheld,Forfeiture of Land Grants Act,24 Stat. 123,,7/6/1886,128,49,4,1,0,0,1,0,0,0,0,0,1
In re Kollock,165 U.S. 526,3/1/1897,1897,1890,0,0,upheld,Adulterated Butter Act (Oleomargarine),24 Stat. 209,,8/2/1886,127,49,6,,0,0,1,0,0,0,1,0,1
In re Chapman,166 U.S. 661,4/19/1897,1897,1890,0,0,upheld,Attendance of Witnesses Before Congress Act,11 Stat. 155,,1/24/1857,483,34,1,6,0,0,1,0,0,0,1,0,0
Twin City Bank v. Nebeker,167 U.S. 196,5/10/1897,1897,1890,0,0,upheld,National Currency Act of 1864,13 Stat. 99,,6/3/1864,395,38,6,,0,0,1,0,0,0,1,0,0
Camfield v. United States,167 U.S. 518,5/24/1897,1897,1890,0,0,upheld,Unlawful Occupancy of the Public Lands Act,23 Stat. 321,,2/25/1885,147,48,5,,1,1,1,0,0,0,1,0,1
Bauman v. Ross,167 U.S. 548,5/10/1897,1897,1890,0,0,upheld,Highways in the District of Columbia Act,27 Stat. 532,,3/2/1893,50,52,4,1,0,0,0,0,1,0,1,0,1
Wilson v. Lambert,168 U.S. 611,1/3/1898,1898,1890,0,0,upheld,Rock Creek Park Act,26 Stat. 496,,9/27/1890,87,51,4,,0,0,1,0,1,0,1,0,0
Parsons v. District of Columbia,170 U.S. 45,4/11/1898,1898,1890,0,0,upheld,Water Main Assessments in the District of Columbia Act,28 Stat. 275,,8/11/1894,44,53,1,4,0,0,0,0,0,0,1,0,1
United States v. Joint Traffic Association,171 U.S. 505,10/24/1898,1898,1890,0,0,upheld,"Interstate Commerce Act of 1895, Sherman Anti-Trust Act",28 Stat. 643,,2/8/1895,45,53,4,,1,1,1,0,1,0,1,3,1
Hopkins v. United States,171 U.S. 578,10/24/1898,1898,1890,1,1,struck down as applied,Sherman Anti-Trust Act,26 Stat. 209,,7/2/1890,100,51,4,,1,1,1,1,1,0,1,0,0
United States v. Duell,172 U.S. 576,1/23/1899,1899,1890,0,0,upheld,Court of Appeals of District of Columbia Act,27 Stat. 434,,2/9/1893,72,52,6,,0,0,1,0,0,0,1,0,1
Nicol v. Ames,173 U.S. 509,4/3/1899,1899,1890,0,0,upheld,War Revenue Act,30 Stat. 448,,6/13/1898,10,55,4,5,1,0,1,0,0,0,1,0,0
Capital Traction Co. v. Hof,174 U.S. 1,4/11/1899,1899,1890,0,0,upheld,District of Columbia Justices of the Peace Act,28 Stat. 668,,2/19/1895,50,53,1,,0,0,0,0,0,0,0,1,1
Stephens v. Cherokee Nation,174 U.S. 445,5/15/1899,1899,1890,0,0,upheld,Indian Appropriation Act,30 Stat. 571,,7/1/1898,11,55,6,1,1,1,0,0,0,0,0,2,0
Kirby v. United States,174 U.S. 47,4/11/1899,1899,1890,2,1,struck down on face,Larceny of United States Property Act,18 Stat. 479,,3/3/1875,289,43,1,,0,0,1,0,1,1,1,2,0
Jones v. Meehan,175 U.S. 1,10/30/1899,1899,1890,2,1,struck down on face,Joint Resolution Authorizing the Secretary of the Interior to Approve a Certain Lease,28 Stat. 263,,8/7/1894,63,53,4,,0,0,0,0,0,1,0,0,1
Addyston Pipe and Steel Company v. United States,175 U.S. 211,12/4/1899,1899,1890,0,0,upheld,Sherman Anti-Trust Act,26 Stat. 209,,7/2/1890,113,51,4,5,1,1,1,0,0,0,1,0,0
Bradfield v. Roberts,175 U.S. 291,12/4/1899,1899,1890,0,0,upheld,Providence Hospital Act,29 Stat. 665,,3/3/1897,33,54,2,,0,0,1,0,0,0,1,0,0
La Abra Silver Mining Company v. United States,175 U.S. 423,12/11/1899,1899,1890,0,0,upheld,La Abra Silver Mining Company Act,27 Stat. 409,,12/28/1892,83,52,6,,0,0,1,0,0,0,1,0,1
Knowlton v. Moore,178 U.S. 41,5/14/00,1900,1900,0,0,upheld,War Revenue Act,30 Stat. 448,,6/13/1898,23,55,4,,1,0,1,0,1,0,1,3,0
Neely v. Henkel,180 U.S. 109,1/14/01,1901,1900,0,0,upheld,Extradition Act,31 Stat. 656,,6/6/00,7,56,1,,0,0,1,0,0,0,1,0,0
Rice v. Ames,180 U.S. 371,2/25/01,1901,1900,0,0,upheld,United States Commissioners Act,29 Stat. 140,,5/28/1896,57,54,6,,0,0,0,0,0,0,1,0,0
Li Sing v. United States,180 U.S. 486,3/18/01,1901,1900,0,0,upheld,Chinese Exclusion Act of 1893 (McCreary Act),28 Stat. 7,,11/3/1893,89,53,1,,0,0,1,1,0,0,1,0,1
Fairbank v. United States,181 U.S. 283,4/15/01,1901,1900,2,1,struck down on face,War Revenue Act,30 Stat. 448,,6/13/1898,35,55,4,,1,0,1,0,1,1,1,4,0
Wight v. Davidson,181 U.S. 371,4/29/01,1901,1900,0,0,upheld,S Street (District of Columbia) Act,30 Stat. 1344,,3/3/1899,26,55,4,1,0,0,0,0,1,0,0,3,0
Downes v. Bidwell,182 U.S. 244,5/27/01,1901,1900,0,0,upheld,Foraker Act (Puerto Rico Civil Code),31 Stat. 77,,4/12/00,14,56,4,,1,1,1,0,0,0,1,4,0
Dooley v. United States,183 U.S. 151,12/2/01,1901,1900,0,0,upheld,Foraker Act (Puerto Rico Civil Code),31 Stat. 77,,4/12/00,20,56,4,,1,1,1,0,0,0,1,4,0
Patton v. Brady,184 U.S. 608,3/17/02,1902,1900,0,0,upheld,War Revenue Act,30 Stat. 448,,6/13/1898,46,55,4,,1,1,1,0,0,0,0,0,0
McFaddin v. Evans-Snider-Buel Company,185 U.S. 505,5/19/02,1902,1900,0,0,upheld,Indian Territory Mortgages Act,29 Stat. 510,,2/3/1897,64,54,4,,0,0,0,0,0,0,0,0,0
Felsenheld v. United States,186 U.S. 126,5/19/02,1902,1900,0,0,upheld,Tariff Act of 1897 (Dingley Act),30 Stat. 151,,7/24/1897,58,55,4,,1,0,1,0,0,0,1,1,0
Hanover National Bank v. Moyses,186 U.S. 181,6/2/02,1902,1900,0,0,upheld,Bankruptcy Actof 1898,30 Stat. 544,,7/1/1898,47,55,4,5,1,1,0,0,0,0,0,0,0
Cherokee Nation v. Hitchcock,187 U.S. 294,12/1/02,1902,1900,0,0,upheld,Curtis Act (Indians in Indian Territory),30 Stat. 496,,6/28/1898,53,55,4,5,1,1,1,0,0,0,1,0,0
Lone Wolf v. Hitchcock,187 U.S. 553,1/5/03,1903,1900,0,0,upheld,"Comanche, Kiowa, and Apache Tribes Act (Fort Hall Indian Reservation Act)",31 Stat. 672,,6/6/00,31,56,5,,0,0,1,0,0,0,1,0,0
Bleistein v. Donaldson Lithographing Company,188 U.S. 239,2/2/03,1903,1900,0,0,upheld,Copyright Acts of 1874,18 Stat. 78,,6/18/1874,343,43,4,,0,0,0,0,1,0,0,2,0
Champion v. Ames (Lottery Case),188 U.S. 321,2/23/03,1903,1900,0,0,upheld,Suppression of Lotteries Act,28 Stat. 963,,3/2/1895,96,53,5,,0,0,1,0,0,0,1,4,1
Japanese Immigrant Case,189 U.S. 86,4/6/03,1903,1900,0,0,upheld,Alien Labor Immigration Act,26 Stat. 1084,,3/3/1891,145,51,1,,1,1,1,0,0,0,1,2,0
James v. Bowman,190 U.S. 127,5/4/03,1903,1900,2,1,struck down on face,Enforcement Act of 1870,16 Stat. 140,,5/31/1870,395,41,5,3,1,1,1,0,0,1,1,2,0
Patterson v. Bark Eudora,190 U.S. 169,6/1/03,1903,1900,0,0,upheld,Merchant Seamen Act,30 Stat. 755,,12/21/1898,53,55,5,4,0,0,0,0,0,0,0,0,0
Snyder v. Bettman,190 U.S. 249,6/1/03,1903,1900,0,0,upheld,War Revenue Act,30 Stat. 448,,6/13/1898,60,55,5,,1,0,1,0,0,0,1,3,0
Thomas v. United States,192 U.S. 363,2/23/04,1904,1900,0,0,upheld,War Revenue Act,30 Stat. 448,,6/13/1898,69,55,4,,1,0,1,0,0,0,1,0,0
Spreckels Sugar Refining Company v. McClain,192 U.S. 397,2/23/04,1904,1900,0,0,upheld,War Revenue Act,30 Stat. 448,,6/13/1898,69,55,4,,1,0,1,0,1,0,1,2,0
Cornell v. Coyne,192 U.S. 418,2/23/04,1904,1900,0,0,upheld,Filled Cheese Act,29 Stat. 253,,6/6/1896,93,54,4,,0,0,1,0,0,0,1,2,0
Buttfield v. Stranahan,192 U.S. 470,2/23/04,1904,1900,0,0,upheld,Tea Inspection/Importation Act,29 Stat. 604,,3/2/1897,84,54,4,6,0,0,1,0,0,0,1,0,0
Northern Securities Company v. United States,193 U.S. 197,3/14/04,1904,1900,0,0,upheld,Sherman Anti-Trust Act,26 Stat. 209,,7/2/1890,164,51,5,4,1,1,1,0,0,0,1,4,0
United States v. Sing Tuck,194 U.S. 161,4/25/04,1904,1900,0,0,upheld,Appropriations Act of 1894,28 Stat. 390,,8/18/1894,104,53,1,,0,0,1,1,1,0,1,2,0
Interstate Commerce Commission v. Baird,194 U.S. 25,4/4/04,1904,1900,0,0,upheld,Compulsory Testimony/Immunity Act (Trusts and Interstate Commerce),27 Stat. 443,,2/11/1893,134,52,1,,0,0,0,0,1,0,1,1,1
United States ex rel. John Turner v. Williams,194 U.S. 279,5/16/04,1904,1900,0,0,upheld,Alien Immigration Act of 1903,32 Stat. 1213,57-162,3/3/03,15,57,6,2,0,0,1,0,0,0,1,0,0
Binns v. United States,194 U.S. 486,5/31/04,1904,1900,0,0,upheld,Carter Act (Alaska Civil Code),31 Stat. 321,,6/6/00,48,56,4,,1,0,1,0,0,0,1,0,0
Public Clearing House v. Coyne,194 U.S. 497,5/31/04,1904,1900,0,0,upheld,Anti-Lottery Law,26 Stat. 465,,9/19/1890,44,51,1,4,0,0,1,0,0,0,1,1,0
McCray v. United States,195 U.S. 27,5/31/04,1904,1900,0,0,upheld,Adulterated Butter Act (Oleomargarine),24 Stat. 209,,8/2/1886,214,49,4,,0,0,1,0,0,0,1,3,1
Clyatt v. United States,197 U.S. 207,3/13/05,1905,1900,0,0,upheld,Anti-Peonage Act,14 Stat. 546,,3/2/1867,456,39,5,,0,0,1,1,1,0,1,0,0
In Re Heff,197 U.S. 488,4/10/05,1905,1900,1,1,struck down as applied,Intoxicating Drinks to Indians Act,29 Stat. 506,,1/30/1897,98,54,5,,0,0,1,0,0,1,1,1,0
Rassmussen v. United States,197 U.S. 516,4/10/05,1905,1900,2,1,struck down on face,Carter Act (Alaska Civil Code),31 Stat. 321,,6/6/00,58,56,1,,1,0,1,0,1,1,1,0,0
United States v. Ju Toy,198 U.S. 253,5/8/05,1905,1900,0,0,upheld,Carey Act (Bureau of Immigration),28 Stat. 372,,8/18/1894,128,53,1,,0,0,1,0,0,0,1,3,1
South Carolina v. United States,199 U.S. 437,12/4/05,1905,1900,0,0,upheld,Internal Revenue Act of 1879,20 Stat. 334,,3/1/1879,311,45,4,5,0,0,1,0,0,0,1,3,1
Burton v. United States,202 U.S. 344,5/21/06,1906,1900,0,0,upheld,Members of Congress Not to Receive Money Act,13 Stat. 123,,6/11/1864,504,38,6,,0,0,1,0,0,0,1,3,0
Millard v. Roberts,202 U.S. 429,5/21/06,1906,1900,0,0,upheld,"District of Columbia, Union Railroad Station",32 Stat. 909,57-122,2/28/03,39,57,6,4,0,0,1,0,0,0,1,0,0
Hodges v. United States,203 U.S. 1,5/28/06,1906,1900,2,1,struck down on face,Enforcement Act of 1870,16 Stat. 140,,5/31/1870,432,41,5,3,1,1,1,0,0,1,1,2,0
Wilson v. Shaw,204 U.S. 24,1/7/07,1907,1900,0,0,upheld,Spooner Act,32 Stat. 481,57-183,6/28/02,55,57,5,,1,1,1,0,0,0,1,0,0
Union Bridge Company v. United States,204 U.S. 364,2/25/07,1907,1900,0,0,upheld,Rivers and Harbors Appropriations Act of 1899,30 Stat. 1121,,3/3/1899,96,55,6,4,0,0,1,0,0,0,1,2,0
Wallace v. Adams,204 U.S. 415,2/25/07,1907,1900,0,0,upheld,Choctaw-Chickasaw Supplemental Agreement Act,32 Stat. 641,57-228,7/1/02,56,57,6,,0,0,0,0,0,0,0,0,0
Martin v. District of Columbia,205 U.S. 135,3/11/07,1907,1900,1,1,struck down as applied,Alleys in the District of Columbia; Streets in the District of Columbia,28 Stat. 501,,8/24/1894,150,52,4,,0,0,0,0,1,0,1,0,1
Ellis v. United States,206 U.S. 246,5/13/07,1907,1900,0,0,upheld,Eight-Hour Law,27 Stat. 340,,8/1/1892,201,52,4,,1,1,1,0,1,0,1,3,1
United States v. Heinszen & Company,206 U.S. 370,5/27/07,1907,1900,0,0,upheld,Philippine Tariff Act of 1906,34 Stat. 636,59-381,6/30/06,11,59,4,,0,0,1,0,1,0,1,2,0
Howard v. Illinois Central Railroad Company and the Yazoo & Mississippi Valley Railroad Company (Employers' Liability Cases),207 U.S. 463,1/6/08,1908,1900,2,1,struck down on face,Employers' Liability Act of 1906,34 Stat. 232,59-219,6/11/06,19,59,5,,1,1,1,0,0,1,0,4,0
Adair v. United States,208 U.S. 161,1/27/08,1908,1900,2,1,struck down on face,Erdman Act,30 Stat. 324,,6/1/1898,116,55,4,,1,0,1,0,1,1,1,2,0
Dick v. United States,208 U.S. 340,2/24/08,1908,1900,0,0,upheld,Indian Country Intoxicants Act,27 Stat. 260,,7/23/1892,175,52,5,,0,0,1,0,0,0,1,0,1
United States v. Bitty,208 U.S. 393,2/24/08,1908,1900,0,0,upheld,Criminal Appeals Act,34 Stat. 1246,59-224,3/2/07,12,59,6,1,0,0,1,0,1,0,1,0,0
Armour Packing Co. v. United States,209 U.S. 56,3/16/08,1908,1900,0,0,upheld,Elkins Act,32 Stat. 847,57-103,2/19/03,61,57,4,1,1,1,1,1,0,0,1,3,0
In re Wood and Henderson,210 U.S. 246,5/18/08,1908,1900,0,0,upheld,Bankruptcy Act of 1898,30 Stat. 544,,7/1/1898,119,55,1,,1,0,0,0,0,0,0,3,0
New York Central & Hudson River Railroad Company v. United States,212 U.S. 481,2/23/09,1909,1900,0,0,upheld,Elkins Act,32 Stat. 847,57-103,2/19/03,72,57,1,,1,1,1,0,0,0,1,0,0
Keller v. United States,213 U.S. 138,4/5/09,1909,1900,1,1,struck down as applied,Immigration Act of 1907,34 Stat. 898,59-96,2/20/07,25,59,5,3,1,0,1,0,1,1,1,3,0
United States v. Evans,213 U.S. 297,4/19/09,1909,1900,2,1,struck down on face,District of Columbia Code,31 Stat. 1189,,3/3/01,98,56,6,1,0,0,1,1,0,1,1,0,0
